ID,Ten_Do_Dung,Danh_Muc,Loai_Chuyen_Di,Thoi_Tiet,Phuong_Tien,Muc_Do_Thiet_Yeu
1,Căn cước công dân / Hộ chiếu,Giấy tờ cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
2,Vé máy bay / Vé tàu / Vé xe điện tử,Giấy tờ cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
3,Tiền mặt (mệnh giá nhỏ),Giấy tờ cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
4,Thẻ tín dụng / Thẻ ngân hàng,Giấy tờ cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
5,Bằng lái xe (nếu tự lái),Giấy tờ cá nhân,Tất cả,Tất cả,Ô tô / Xe máy,Bắt buộc
6,Giấy chứng nhận đặt phòng khách sạn,Giấy tờ cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
7,Bảo hiểm du lịch (bản in/file),Giấy tờ cá nhân,Tất cả,Tất cả,Tất cả,Khuyến khích
8,Thẻ sinh viên / Thẻ giảm giá,Giấy tờ cá nhân,Tất cả,Tất cả,Tất cả,Không bắt buộc
9,Bản sao giấy tờ tùy thân (Photo),Giấy tờ cá nhân,Tất cả,Tất cả,Tất cả,Khuyến khích
10,Sổ tay lịch trình offline,Giấy tờ cá nhân,Tất cả,Tất cả,Tất cả,Không bắt buộc
11,Điện thoại thông minh,Thiết bị công nghệ,Tất cả,Tất cả,Tất cả,Bắt buộc
12,Cáp sạc điện thoại,Thiết bị công nghệ,Tất cả,Tất cả,Tất cả,Bắt buộc
13,Sạc dự phòng dung lượng lớn,Thiết bị công nghệ,Tất cả,Tất cả,Tất cả,Bắt buộc
14,Tai nghe (Có dây/Không dây),Thiết bị công nghệ,Tất cả,Tất cả,Tất cả,Khuyến khích
15,Củ sạc đa năng (Universal Adapter),Thiết bị công nghệ,Nước ngoài,Tất cả,Tất cả,Bắt buộc
16,Máy ảnh du lịch,Thiết bị công nghệ,Nghỉ dưỡng / Khám phá,Tất cả,Tất cả,Không bắt buộc
17,Thẻ nhớ dự phòng,Thiết bị công nghệ,Nghỉ dưỡng / Khám phá,Tất cả,Tất cả,Không bắt buộc
18,Gậy chụp ảnh / Tripod nhỏ,Thiết bị công nghệ,Tất cả,Tất cả,Tất cả,Không bắt buộc
19,Túi chống nước cho điện thoại,Thiết bị công nghệ,Biển / Phượt,Mưa / Ẩm ướt,Tất cả,Khuyến khích
20,Đèn pin siêu sáng,Thiết bị công nghệ,Camping / Trekking,Tất cả,Ô tô / Xe máy,Khuyến khích
21,Loa Bluetooth mini,Thiết bị công nghệ,Camping / Biển,Tất cả,Tất cả,Không bắt buộc
22,Kindle / Máy đọc sách,Thiết bị công nghệ,Nghỉ dưỡng,Tất cả,Máy bay / Tàu hỏa,Không bắt buộc
23,Thiết bị phát Wifi di động,Thiết bị công nghệ,Nước ngoài / Phượt,Tất cả,Tất cả,Khuyến khích
24,Flycam (Thiết bị bay chụp ảnh),Thiết bị công nghệ,Khám phá / Camping,Khô ráo,Ô tô,Không bắt buộc
25,Đồng hồ thông minh (Smartwatch),Thiết bị công nghệ,Trekking / Thể thao,Tất cả,Tất cả,Khuyến khích
26,Áo thun ngắn tay,Trang phục,Tất cả,Nắng nóng / Ấm áp,Tất cả,Bắt buộc
27,Quần short năng động,Trang phục,Tất cả,Nắng nóng,Tất cả,Bắt buộc
28,Quần dài (Jean/Kaki),Trang phục,Tất cả,Tất cả,Tất cả,Bắt buộc
29,Áo khoác gió mỏng,Trang phục,Tất cả,Lạnh nhẹ / Gió,Tất cả,Khuyến khích
30,Áo khoác len / Hoodie,Trang phục,Tất cả,Lạnh,Tất cả,Khuyến khích
31,Áo phao dày giữ nhiệt,Trang phục,Mùa đông / Vùng cao,Lạnh giá / Tuyết,Tất cả,Bắt buộc
32,Quần áo giữ nhiệt (Heattech),Trang phục,Mùa đông / Vùng cao,Lạnh giá,Tất cả,Bắt buộc
33,Đồ lót (đủ số ngày đi),Trang phục,Tất cả,Tất cả,Tất cả,Bắt buộc
34,Tất / Vớ (nhiều đôi),Trang phục,Tất cả,Tất cả,Tất cả,Bắt buộc
35,Đồ bơi / Bikini,Trang phục,Biển / Nghỉ dưỡng,Nắng nóng,Tất cả,Bắt buộc
36,Áo choàng đi biển,Trang phục,Biển,Nắng nóng,Tất cả,Không bắt buộc
37,Váy / Đầm maxi chụp ảnh,Trang phục,Nghỉ dưỡng / Biển,Nắng nóng / Ấm áp,Tất cả,Không bắt buộc
38,Quần áo ngủ thoải mái,Trang phục,Tất cả,Tất cả,Tất cả,Bắt buộc
39,Giày thể thao đi bộ,Trang phục,Tất cả,Tất cả,Tất cả,Bắt buộc
40,Dép sandal / Dép lê,Trang phục,Tất cả,Nắng nóng / Mưa,Tất cả,Bắt buộc
41,Mũ lưỡi trai / Mũ rộng vành,Trang phục,Tất cả,Nắng nóng,Tất cả,Khuyến khích
42,Kính râm thời trang,Trang phục,Tất cả,Nắng nóng,Tất cả,Khuyến khích
43,Khăn rằn / Khăn phượt,Trang phục,Phượt / Trekking,Nắng / Bụi,Xe máy,Khuyến khích
44,Khăn len / Khăn giữ ấm cổ,Trang phục,Mùa đông,Lạnh giá,Tất cả,Bắt buộc
45,Găng tay giữ ấm,Trang phục,Mùa đông / Phượt,Lạnh giá,Tất cả,Bắt buộc
46,Găng tay chống nắng,Trang phục,Phượt,Nắng nóng,Xe máy,Khuyến khích
47,Áo mưa bộ chuyên dụng,Trang phục,Phượt / Trekking,Mưa lớn,Xe máy,Bắt buộc
48,Áo mưa cánh dơi tiện lợi,Trang phục,Tất cả,Mưa ẩm,Tất cả,Khuyến khích
49,Ô / Dù gấp gọn,Trang phục,Đô thị / Nghỉ dưỡng,Mưa nhẹ / Nắng,Tất cả,Khuyến khích
50,Giày leo núi chuyên dụng (Trekking),Trang phục,Trekking / Hiking,Tất cả,Tất cả,Bắt buộc
51,Dép đi trong nhà khách sạn,Trang phục,Nghỉ dưỡng,Tất cả,Tất cả,Không bắt buộc
52,Thắt lưng (Dây nịt),Trang phục,Tất cả,Tất cả,Tất cả,Không bắt buộc
53,Băng đô / Chun buộc tóc,Trang phục,Tất cả,Tất cả,Tất cả,Khuyến khích
54,Bàn chải đánh răng cá nhân,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
55,Kem đánh răng tuýp nhỏ,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
56,Dầu gội gói / Chai chiết,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
57,Sữa tắm gói / Chai chiết,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
58,Sữa rửa mặt mini,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
59,Khăn mặt sợi tre nhanh khô,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
60,Khăn tắm cỡ lớn,Vệ sinh cá nhân,Camping / Phượt / Biển,Tất cả,Tất cả,Khuyến khích
61,Dao cạo râu / Kem cạo râu,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Khuyến khích
62,Băng vệ sinh hàng ngày / Du lịch,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
63,Nước súc miệng chai nhỏ,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Không bắt buộc
64,Tăm bông / Bông tẩy trang,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Khuyến khích
65,Nước tẩy trang mini,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Khuyến khích
66,Lược chải tóc nhỏ gọn,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Khuyến khích
67,Bấm móng tay,Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Không bắt buộc
68,Khăn giấy khô (bỏ túi),Vệ sinh cá nhân,Tất cả,Tất cả,Tất cả,Bắt buộc
